swk_id,lat,long,damage
1,42.38122085141686,-71.06990989825789,85.0
2,42.38059604674949,-71.06964788684151,47.0
3,42.38068558482508,-71.06968514333657,64.0
4,42.38179081797815,-71.06868507296026,56.0
5,42.38110320519791,-71.07020034726331,87.0
6,42.39313002790522,-71.0685238478497,95.0
7,42.38196701695427,-71.07044355468156,70.0
8,42.38186228534577,-71.07039682471574,82.0
9,42.33403099504483,-71.15421779281664,58.0
10,42.3427273309652,-71.15366181687146,83.0
11,42.35782140421997,-71.13367859076091,60.0
12,42.35872976381199,-71.1341705681703,74.0
13,42.36047196169105,-71.13278355014798,100.0
15,42.3498130618694,-71.13674664643575,96.0
16,42.35108571089381,-71.15328070409961,68.0
17,42.35118198674092,-71.15319252454645,46.0
18,42.35167383505863,-71.16108501597633,78.0
19,42.35171606139389,-71.16120548231208,73.0
20,42.34367761729254,-71.14132209628768,31.0
21,42.3506230510055,-71.13617986469721,50.0
22,42.35126140029236,-71.13582082328936,44.0
23,42.352687453972756,-71.13478211612411,21.0
24,42.34533460029702,-71.07376281331709,71.0
25,42.34546996396929,-71.07378871259563,70.0
26,42.353373605884705,-71.0581772776949,89.0
28,42.341279305979775,-71.07524621055234,59.0
29,42.34187613961186,-71.0743830362477,55.0
24506,42.38513386244847,-71.02247759515232,69.0
24507,42.281154444415165,-71.1339436789877,32.0
24509,42.28178803815602,-71.13327979045792,49.0
24510,42.29702567296262,-71.15763240871367,15.0
24511,42.27424860186035,-71.14222292556042,5.0
24512,42.288201519638434,-71.14374548039793,50.0
24513,42.29447434403117,-71.15227292283794,72.0
24514,42.28672010442048,-71.1371384316487,58.0
24515,42.28704452657529,-71.13176654171878,0.0
24516,42.28706775595669,-71.1314381188485,38.0
24517,42.259235309118054,-71.16330652367242,0.0
24519,42.38776820122642,-71.07562813890746,50.0
24520,42.34544382954899,-71.1360488954073,60.0
24521,42.345382586155836,-71.1361546275157,54.0
24522,42.293632625288566,-71.1456354838896,9.0
24523,42.293303834829985,-71.15292799071067,80.0
24524,42.2931477861884,-71.1527963572407,71.0
24525,42.29182194948711,-71.15539092684561,71.0
24526,42.29173357921186,-71.15545309778558,78.0
24527,42.29147202892337,-71.15673326007706,81.0
24528,42.29177728043558,-71.15596626813817,29.0
24529,42.284556061898904,-71.169541459402,72.0
24530,42.27496328176643,-71.13363254281529,45.0
24533,42.28084009106884,-71.13611458706808,38.0
24534,42.27578247640417,-71.1401106556032,31.0
24535,42.282355020875414,-71.14155161840883,44.0
24536,42.28229906249264,-71.14145778990266,35.0
24537,42.27839056058072,-71.1489088123987,23.0
24539,42.28677763122509,-71.13694010870444,100.0
24542,42.35101698545543,-71.11647442362873,41.0
24543,42.34436682233011,-71.13773352592933,54.0
24544,42.306677207575014,-71.0858013456888,99.0
24545,42.34672122523593,-71.17065770269987,38.0
24546,42.339758007339235,-71.14462254232905,100.0
24547,42.339669750173265,-71.14474490113446,100.0
24548,42.33869535648013,-71.14628967130179,100.0
24549,42.33862987862598,-71.14615065419423,100.0
24550,42.33854936427188,-71.146226406796,100.0
24552,42.342411871897404,-71.06054989970549,35.0
24553,42.35001086075548,-71.10813162302861,72.0
24554,42.346022307826196,-71.13530337051644,57.0
24555,42.300914287764215,-71.14159427819912,34.0
24556,42.30162414696046,-71.13697145162212,100.0
24557,42.30089139537894,-71.14173622871841,34.0
24558,42.30212461291672,-71.14022419151608,100.0
24560,42.29966136775289,-71.14337693525245,33.0
24561,42.29923537265933,-71.14407567460314,61.0
24562,42.29693906450361,-71.1574666248262,54.0
24565,42.30570491271143,-71.08597879067315,100.0
24566,42.30606598991891,-71.0860139004759,64.0
24567,42.29735239646308,-71.1679970000183,20.0
24569,42.29912182482578,-71.14416242691982,49.0
24570,42.307842838907014,-71.08457917081832,99.0
24571,42.3078976767321,-71.08447090074405,97.0
24573,42.38581769684877,-71.07772671740302,100.0
24574,42.3372916163006,-71.14733762299451,81.0
24575,42.344210993101406,-71.13706872391631,57.0
24578,42.25649440293986,-71.15714034726845,42.0
24579,42.30729444997737,-71.08550766399507,33.0
24580,42.30720469716268,-71.08553645444029,37.0
24581,42.271078889803924,-71.0974514906787,71.0
24582,42.271091264628325,-71.09758697851146,65.0
24583,42.272763825560716,-71.09530235930076,67.0
24584,42.30061910180619,-71.14219301701695,40.0
24586,42.273002436621354,-71.10772408743847,86.0
24588,42.339519908352166,-71.1666690877332,80.0
24589,42.3421909494087,-71.13989810957769,100.0
24590,42.342180697365215,-71.1401862663367,96.0
24591,42.34167847157199,-71.14081002465352,91.0
24592,42.34160877419202,-71.14088368834884,89.0
24593,42.34609012740886,-71.13516331518443,68.0
24594,42.29584932452271,-71.14857354553652,43.0
24595,42.29594786122011,-71.1485619466321,46.0
24596,42.35150545251737,-71.1212549782118,0.0
24597,42.35153077956835,-71.12143056255522,27.0
24598,42.2803664014004,-71.11960761417191,100.0
24599,42.27572916962066,-71.10868302937581,0.0
24600,42.280185978477874,-71.11850897728453,95.0
24601,42.27668112936425,-71.12656354710536,77.0
24602,42.25683051074933,-71.15610640029979,81.0
24603,42.25684868803083,-71.15598889100066,82.0
24604,42.38425006652081,-71.07868792504699,84.0
24605,42.35425797595657,-71.04921901156557,86.0
24606,42.33119865770946,-71.09626715793844,57.0
24607,42.29440048375452,-71.15214011859258,58.0
24608,42.323595546582645,-71.11234283696977,88.0
24610,42.28082433831873,-71.12059946521335,100.0
24611,42.28531879568556,-71.12421446725375,96.0
24612,42.28497668161263,-71.12445615193006,96.0
24613,42.28449233246447,-71.12386801532048,90.0
24614,42.283102385022026,-71.12393287325683,100.0
24615,42.29732523893842,-71.12948671914216,72.0
24616,42.28691355680775,-71.12788265579283,97.0
24617,42.322222886240525,-71.10668526259225,28.0
24618,42.32197578349492,-71.10899874089068,55.0
24619,42.27801112948396,-71.12513295721601,58.0
24620,42.27792337572318,-71.12523875855396,60.0
24621,42.27904212048072,-71.12052915175006,30.0
24622,42.279031329852394,-71.12068644416863,47.0
24623,42.28119464877756,-71.12068790077684,93.0
24624,42.28455486301906,-71.12392301191034,76.0
24626,42.283044027546985,-71.12386689845074,100.0
24628,42.315328049805885,-71.09866526090676,77.0
24629,42.32223344767108,-71.10655733855214,83.0
24630,42.33329030584302,-71.09286360577201,45.0
24631,42.333357818531795,-71.09276699722854,38.0
24636,42.27808245632936,-71.05371224062588,100.0
24637,42.29315939687426,-71.08170502730661,63.0
24640,42.29570383874631,-71.0722290194272,29.0
24641,42.29574178760372,-71.07205995990938,100.0
